Organization,Patent Count
GOOGLE INC,1103
MICROSOFT CORP,1074
INTERNATIONAL BUSINESS MACHINES CORP,979
SIEMENS AKTIENGESELLSCHAFT,883
INTEL CORP,819
ADOBE SYSTEMS INC,560
FORD MOTOR CO,539
KONINKLIJKE PHILIPS NV,427
QUALCOMM INC,417
NEC CORP,350
GENERAL ELECTRIC COMPANY,314
KLA-TENCOR CORP,289
EMERSON ELECTRIC CO,280
FACEBOOK INC,279
SAMSUNG ELECTRONICS CO LTD,234
GENERAL MOTORS CORP,223
MITSUBISHI ELECTRIC CORP,222
XEROX CORP,196
UNIVERSITY OF CALIFORNIA,162
SONY CORP,151
HRL LABORATORIES LLC,150
WALMART STORES INC,143
NVIDIA CORP,139
STRADIVISION INC,129
OMNI AI INC,129
MAGIC LEAP INC,126
ELEKTA AB,125
EBAY INC,123
HEALTH DISCOVERY CORP,121
STRONG FORCE IOT PORTFOLIO 2016 LLC,120
APPLE INC,116
TOYOTA MOTOR CORP,113
HP INC,113
MOTOROLA SOLUTIONS INC,113
AUTOCONNECT HOLDINGS LLC,112
UBER TECHNOLOGIES INC,110
FLEX LTD FORMERLY FLEXTRONICS INTL,110
VERIZON COMMUNICATIONS INC,106
PANASONIC CORP,105
ORACLE CORP,99
AUTOMOTIVE TECHNOLOGIES INTERNATIONAL INC,99
MICRON TECHNOLOGY INC,98
CASE WESTERN RESERVE UNIVERSITY,97
ACCENTURE LTD,96
BAIDU INC,95
BROADCOM LTD,95
AMAZONCOM INC,91
ASSA ABLOY AB,88
ANDERSEN DAVID B,87
ANGELSON ERIC LAWRENCE,87
BELL GENEVIEVE,87
BOOTH CORY J,87
FERREN BRAN,87
JASMANN SCHAWN A,87
NEGROPONTE DIMITRI,87
CISCO SYSTEMS INC,85
STEIN GIDEON,83
HEARTFLOW INC,82
CAPITALONE,80
SPLUNK INC,79
CANON INC,78
COGNEX CORP,74
HUBERMAN DAVID,73
SHASHUA AMNON,73
TAIEB YOAV,73
TUBIS IGOR,73
COBB WESLEY KENNETH,72
BOEING CO THE,71
HONDA MOTOR CO LTD,71
HALLIBURTON CO HOLDING,71
HERE GLOBAL BV,69
WALT DISNEY CO,69
HONEYWELL INTERNATIONAL INC,67
EASTMAN KODAK COMPANY,67
UNITED TECHNOLOGIES CORP,66
MARVELL TECHNOLOGY GROUP LTD,66
CARNEGIE MELLON UNIVERSITY,64
ARC DEVICES LTD,64
BARRETT JOHN,64
BODNICK JASON,64
BRIEN JULIE,64
CRAWLEY MARTIN,64
CRONIN MICHAEL,64
GERST STEVEN,64
GROSS IRWIN,64
KHACHARURIAN MARK,64
KHACHATURIAN MARK,64
MOLLOY ROISIN,64
SMITH MICHAEL,64
SMITH MICHAEL G,64
TURNBULL DEREK,64
ANSARI NAJEEB I,64
BILLA SATYANARAYANA LAKSHMIPATH,64
BILLA SATYANARAYANA LAKSHMIPATHI,64
BOUCHARD GREGG A,64
BULLIS KENNETH A,64
DAHLMANN TROY S,64
GOYAL RAJAN,64
HARDESTY JEFFREY R,64
